Crop,Geolocation,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual
Cassava,..REGION VIII (EASTERN VISAYAS),28415.41,21659.96,50075.37,28851.67,11404.22,40255.89,90331.26,21179.13,20278.97,41458.1,27470.96,11046.57,38517.53,79975.63,22521.21,20703.05,43224.26,29017.99,11973.46,40991.45,84215.71,23043.15,20013.79,43056.94,29617.04,12180.05,41797.1,84854.04,23451.17,19980.13,43431.3,30556.89,11913.09,42469.98,85901.28,22464.25,20234.78,42699.03,30098.8,12031.54,42130.34,84829.37,22283.41,18788.15,41071.56,30593.3,11747.11,42340.41,83411.97,22086.69,18877.21,40963.9,29515.42,13608.02,43123.43,84087.34,22139.57,19418.58,41558.15,31719.31,13459.84,45179.15,86737.3,22384.54,21497.92,43882.46,32735.41,14622.42,47357.83,91240.29,23299.17,21352.1,44651.27,32167.66,15958.16,48125.81,92777.08
Cassava,..REGION IX (ZAMBOANGA PENINSULA),5076.81,4697.51,9774.32,21018.07,21517.79,42535.86,52310.18,6272.17,19448.18,25720.35,27762.45,23702.26,51464.71,77185.06,6412.65,19614.51,26027.16,31075.9,24236.36,55312.26,81339.42,6417.54,19956.08,26373.62,26453.28,31187.03,57640.31,84013.93,7977.68,24983.65,32961.33,28244.41,29108.81,57353.22,90314.55,7718.77,23529.62,31248.39,27266.23,28176.85,55443.08,86691.47,7298.09,22285.4,29583.49,26566.66,27809.34,54376.0,83959.49,7303.71,23010.68,30314.39,28539.0,28781.96,57320.96,87635.35,7711.69,23305.02,31016.71,29931.59,28750.04,58681.63,89698.35,8019.38,23226.28,31245.66,29387.74,30034.87,59422.61,90668.27,7866.53,22618.62,30485.15,27742.99,30114.58,57857.57,88342.72
Cassava,..REGION X (NORTHERN MINDANAO),152541.0,264195.95,416736.95,86780.81,97770.77,184551.58,601288.53,175463.92,293882.0,469345.92,92790.0,101443.77,194233.77,663579.69,195001.0,333829.0,528830.0,93471.12,106544.02,200015.14,728845.14,182877.56,317457.25,500334.81,94123.2,110876.35,204999.55,705334.36,189406.48,334317.59,523724.07,98566.78,114254.76,212821.54,736545.61,182397.91,331834.11,514232.02,93851.92,108829.86,202681.78,716913.8,172847.41,309343.53,482190.94,95819.67,110052.68,205872.35,688063.29,173236.8,290777.82,464014.62,88390.54,134369.48,222760.02,686774.64,173783.32,258034.74,431818.06,90838.17,153231.49,244069.66,675887.72,171562.13,265389.85,436951.98,91708.69,154038.42,245747.11,682699.09,195248.53,279290.31,474538.84,95061.2,145260.3,240321.5,714860.34
Cassava,..REGION XI (DAVAO REGION),3320.29,4390.63,7710.92,4162.71,4094.98,8257.69,15968.61,3669.93,5225.05,8894.98,4813.9,4249.35,9063.25,17958.23,3937.18,5444.25,9381.43,4990.0,4233.64,9223.64,18605.07,4677.43,8725.62,13403.05,5127.72,4697.75,9825.47,23228.52,4761.53,7298.0,12059.53,4950.41,4910.07,9860.48,21920.01,4535.17,7355.65,11890.82,4924.16,5053.73,9977.89,21868.71,4031.13,7011.01,11042.14,4775.55,4907.79,9683.34,20725.48,3924.26,6663.72,10587.98,4824.77,4601.65,9426.42,20014.4,3889.69,6414.73,10304.42,4788.29,4322.41,9110.7,19415.13,3900.33,6402.02,10302.35,5025.62,4328.26,9353.88,19656.23,3871.56,6366.07,10237.63,4929.8,4176.92,9106.72,19344.35
Cassava,..REGION XII (SOCCSKSARGEN),16466.8,28296.45,44763.25,19945.7,25159.2,45104.9,89868.15,52965.71,22137.86,75103.57,19229.72,27489.49,46719.21,121822.78,46551.96,20505.02,67056.98,20001.2,27339.55,47340.75,114397.73,45331.84,16188.12,61519.96,18809.48,24692.0,43501.48,105021.44,47526.16,17264.73,64790.89,17140.81,21896.83,39037.64,103828.53,42099.08,16656.36,58755.44,15974.91,20379.04,36353.95,95109.39,38839.92,16191.96,55031.88,14410.21,19615.28,34025.49,89057.37,36249.51,14607.8,50857.31,14045.07,19733.39,33778.46,84635.77,37787.35,17764.52,55551.87,12984.09,22534.1,35518.2,91070.06,39632.12,16837.19,56469.3,10372.57,28044.58,38417.15,94886.46,40992.97,18363.8,59356.77,9299.21,26963.33,36262.54,95619.31
Cassava,..REGION XIII (CARAGA),1919.5,5389.49,7308.99,4973.99,5416.91,10390.9,17699.89,1842.87,5104.05,6946.92,5066.83,5167.0,10233.83,17180.75,1942.4,5676.52,7618.92,5576.59,5005.8,10582.39,18201.31,1979.41,7325.43,9304.84,6788.01,8627.02,15415.03,24719.87,1813.32,6442.79,8256.11,7344.3,6545.32,13889.62,22145.73,2411.2,6589.22,9000.42,6194.64,6704.88,12899.52,21899.95,2031.58,4536.61,6568.19,5459.32,5646.44,11105.76,17673.95,1948.01,4431.31,6379.32,6275.47,6639.08,12914.55,19293.87,1936.64,5481.59,7418.23,6035.6,6833.47,12869.07,20287.3,1730.35,3771.04,5501.39,6098.04,7187.64,13285.68,18787.07,1726.11,3848.96,5575.07,2763.77,5140.99,7904.76,13479.84
Cassava,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),98428.88,246160.3,344589.18,273560.0,416958.0,690518.0,1035107.18,99072.26,249308.0,348380.26,276963.5,419889.0,696852.5,1045232.76,102634.7,224307.0,326941.7,273593.0,423645.0,697238.0,1024179.7,98111.4,219767.5,317878.9,265001.18,424942.0,689943.18,1007822.08,100436.4,221312.0,321748.4,269949.13,445774.93,715724.06,1037472.46,101465.21,222831.3,324296.51,280311.2,458756.0,739067.2,1063363.71,99509.9,219139.11,318649.01,276381.86,467696.56,744078.42,1062727.43,96779.27,220554.37,317333.64,280733.11,489458.18,770191.29,1087524.93,98739.92,221694.59,320434.51,282808.83,491567.8,774376.63,1094811.14,98705.65,222449.82,321155.47,282637.25,488001.4,770638.65,1091794.12,97285.43,218991.39,316276.82,279904.08,479251.78,759155.86,1075432.68
Cassava for food,PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,216810.81,360713.83,577524.64,232479.44,406251.6,638731.04,1216255.69,179067.53,238610.25,417677.79,271819.42,426616.31,698435.73,1116113.51,175118.1,233006.67,408124.77,276468.98,437086.31,713555.29,1121680.06,173151.81,223294.01,396445.82,272909.45,442295.48,715204.93,1111650.76,169325.28,224732.64,394057.92,280384.67,465577.72,745962.38,1140020.31,165514.66,229613.66,395128.32,285480.94,466798.19,752279.13,1147407.45,163302.18,231541.25,394843.43,288735.51,463174.46,751909.96,1146753.39,160905.88,230597.49,391503.37,275990.35,452521.89,728512.25,1120015.62
Cassava for food,..CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,,,,,,,,,,,,,,,,,183.18,591.29,774.47,252.2,170.02,422.23,1196.69,168.43,556.18,724.61,271.69,169.61,441.3,1165.91,164.26,598.63,762.89,238.38,169.83,408.21,1171.1,147.23,597.01,744.24,241.75,201.82,443.57,1187.81,144.96,634.75,779.71,262.62,246.28,508.9,1288.61,160.83,580.51,741.34,248.82,255.95,504.77,1246.11,162.12,603.04,765.16,278.12,264.71,542.83,1307.99,164.46,560.83,725.29,276.49,128.62,405.11,1130.4
Cassava for food,..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,5153.81,2984.82,8138.63,4291.58,4697.67,8989.25,17127.87,5893.34,3359.58,9252.92,4335.12,4736.58,9071.7,18324.62,6027.21,3469.27,9496.49,4696.22,4647.14,9343.36,18839.85,6076.71,3259.92,9336.63,4802.48,4617.92,9420.4,18757.04,6172.98,3280.91,9453.89,4895.69,4619.08,9514.77,18968.65,5536.86,3324.47,8861.32,5144.98,4821.49,9966.47,18827.79,3867.13,3317.75,7184.88,5247.83,4850.67,10098.5,17283.38,3777.51,3516.0,7293.5,4299.19,4580.86,8880.05,16173.55
Cassava for food,..REGION II (CAGAYAN VALLEY),,,,,,,,,,,,,,,,,,,,,,5195.07,1854.71,7049.78,1717.03,2931.69,4648.72,11698.5,5188.21,2059.9,7248.11,1762.43,3173.33,4935.76,12183.87,5017.49,2428.57,7446.06,1727.4,2491.52,4218.92,11664.98,4918.63,2389.4,7308.03,1789.04,2813.11,4602.15,11910.19,5482.98,2806.08,8289.06,2001.44,2892.96,4894.4,13183.46,7505.14,2467.72,9972.86,1811.61,2844.06,4655.67,14628.53,8630.83,2590.97,11221.8,1930.07,2861.86,4791.93,16013.73,8642.73,2673.3,11316.03,1927.93,2879.16,4807.09,16123.12
Cassava for food,..REGION III (CENTRAL LUZON),,,,,,,,,,,,,,,,,,,,,,3076.05,2241.58,5317.63,2490.64,4170.88,6661.52,11979.15,3019.42,2213.71,5233.13,2546.62,4522.32,7068.94,12302.07,3139.82,2449.57,5589.39,2538.09,4584.61,7122.7,12712.09,3236.82,2397.13,5633.95,2737.65,5174.19,7911.84,13545.79,3294.39,3143.7,6438.09,3087.63,5321.0,8408.63,14846.72,2869.18,3645.82,6515.0,2738.21,5114.05,7852.26,14367.26,3057.55,3881.4,6938.95,2618.76,4726.49,7345.25,14284.2,2954.25,4099.72,7053.97,1488.6,4912.76,6401.36,13455.34
Cassava for food,..REGION IV-A (CALABARZON),,,,,,,,,,,,,,,,,,,,,,14530.01,18293.6,32823.61,7346.66,10071.96,17418.62,50242.23,14695.8,15916.98,30612.78,7337.63,9638.91,16976.54,47589.32,13328.62,12263.87,25592.49,7071.41,9524.25,16595.66,42188.15,13470.72,11591.8,25062.52,7425.68,9764.86,17190.54,42253.06,14671.29,10871.61,25542.9,7528.47,8951.62,16480.09,42022.99,15160.97,10601.45,25762.42,7600.29,9400.65,17000.94,42763.36,15507.2,10417.74,25924.94,7638.89,9038.72,16677.61,42602.55,15331.26,10499.34,25830.6,7311.5,9200.32,16511.82,42342.42
Cassava for food,..MIMAROPA REGION,,,,,,,,,,,,,,,,,,,,,,2283.83,7516.54,9800.37,2265.61,3352.8,5618.41,15418.78,2531.22,7601.72,10132.94,3831.92,3650.9,7482.82,17615.76,2530.18,7390.94,9921.12,3785.51,3668.26,7453.77,17374.89,2567.1,7670.84,10237.94,3990.25,3528.09,7518.34,17756.28,2691.92,7281.84,9973.76,4160.07,3601.8,7761.87,17735.63,3307.34,7561.44,10868.78,6011.25,2919.18,8930.43,19799.21,3223.37,7775.7,10999.07,6413.61,3951.91,10365.52,21364.59,3355.93,7415.47,10771.4,3482.83,2796.07,6278.9,17050.3
Cassava for food,..REGION V (BICOL REGION),,,,,,,,,,,,,,,,,,,,,,26143.06,33592.12,59735.18,16520.14,8126.88,24647.02,84382.2,23479.07,29918.89,53397.96,15358.97,7925.85,23284.82,76682.78,22650.2,24242.94,46893.14,14768.89,7458.52,22227.41,69120.55,23188.41,22565.94,45754.35,15219.12,7175.42,22394.54,68148.89,20451.7,23828.6,44280.3,16416.98,6165.7,22582.68,66862.98,12420.93,25490.57,37911.5,15472.45,6527.24,21999.69,59911.19,12640.95,24417.82,37058.77,16558.18,6186.99,22745.17,59803.94,10433.89,24370.14,34804.03,13935.34,5713.59,19648.93,54452.97
Cassava for food,..REGION VI (WESTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,14007.47,18362.03,32369.5,7708.31,15048.12,22756.43,55125.93,13988.88,17904.57,31893.45,8153.2,15032.12,23185.32,55078.77,13037.96,17157.28,30195.24,8056.03,15011.72,23067.75,53262.99,12524.59,16437.43,28962.02,7955.27,14801.26,22756.53,51718.55,12573.41,15516.82,28090.23,7847.71,15443.86,23291.57,51381.8,12220.2,16125.67,28345.87,8007.27,16020.45,24027.72,52373.59,12358.25,16523.06,28881.31,8356.83,15608.8,23965.63,52846.93,12601.28,16535.44,29136.72,7927.75,15083.84,23011.59,52148.31
Cassava for food,..REGION VII (CENTRAL VISAYAS),,,,,,,,,,,,,,,,,,,,,,10422.34,2892.78,13315.12,3221.91,10749.86,13971.77,27286.89,10749.27,3574.29,14323.56,3439.07,13971.09,17410.16,31733.72,9075.67,4980.61,14056.28,3180.37,12916.07,16096.44,30152.72,8423.12,4474.45,12897.57,2928.62,9746.86,12675.48,25573.05,8635.06,4361.71,12996.77,3032.43,8036.75,11069.18,24065.95,8659.26,3924.04,12583.3,2972.34,6492.49,9464.83,22048.13,5788.05,4055.76,9843.81,2981.06,5909.18,8890.24,18734.05,6014.74,4162.37,10177.11,2401.19,6133.29,8534.48,18711.59
Cassava for food,..REGION VIII (EASTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,13247.87,15669.52,28917.39,17736.84,9125.93,26862.78,55780.17,13205.82,15655.39,28861.21,18167.25,9058.74,27225.99,56087.2,12670.8,15548.78,28219.58,16775.8,9086.23,25862.03,54081.61,12855.41,14474.67,27330.08,16368.3,9108.11,25476.41,52806.49,12238.69,14388.07,26626.76,15182.34,10966.02,26148.36,52775.12,12350.12,14725.57,27075.69,17258.36,10934.84,28193.2,55268.89,12856.45,17121.63,29978.08,18223.32,12225.56,30448.88,60426.96,13861.15,17324.58,31185.73,17644.68,13147.89,30792.57,61978.3
Cassava for food,..REGION IX (ZAMBOANGA PENINSULA),,,,,,,,,,,,,,,,,,,,,,2933.95,11322.48,14256.43,13376.33,14713.53,28089.86,42346.29,3286.5,11807.31,15093.81,13641.18,13916.56,27557.74,42651.55,3142.69,12105.1,15247.79,13485.16,14148.46,27633.62,42881.4,2991.75,11840.96,14832.71,13368.04,13952.59,27320.63,42153.33,3234.31,12053.56,15287.87,14658.66,14387.16,29045.82,44333.69,3344.63,12709.54,16054.17,14978.68,14870.99,29849.67,45903.84,3469.17,12832.75,16301.92,15200.35,15359.91,30560.26,46862.18,3367.56,14455.82,17823.38,18133.12,17028.27,35161.39,52984.78
Cassava for food,..REGION X (NORTHERN MINDANAO),,,,,,,,,,,,,,,,,,,,,,16896.2,15556.25,32452.45,8083.5,7648.55,15732.05,48184.5,14902.66,16167.44,31070.1,8129.54,7769.45,15898.99,46969.09,15217.82,16115.11,31332.93,7982.75,7629.57,15612.32,46945.25,15779.47,15617.53,31397.0,8064.96,7586.68,15651.64,47048.64,15762.53,15681.9,31444.43,8104.09,8050.56,16154.65,47599.08,16048.08,16245.57,32293.65,8113.77,8162.31,16276.08,48569.73,16140.49,16099.04,32239.53,8051.56,7876.91,15928.47,48168.0,16355.53,16507.87,32863.4,8365.2,8166.27,16531.47,49394.87
Cassava for food,..REGION XI (DAVAO REGION),,,,,,,,,,,,,,,,,,,,,,1440.05,5610.76,7050.81,3379.06,3189.53,6568.59,13619.4,1435.42,5487.25,6922.67,3430.91,3334.95,6765.86,13688.53,1436.64,5543.51,6980.15,3645.72,3484.42,7130.14,14110.29,1416.72,5450.7,6867.42,3630.98,3503.35,7134.33,14001.75,1414.58,5336.95,6751.53,3735.92,3402.89,7138.81,13890.34,1421.65,5208.44,6630.09,3780.65,3204.31,6984.96,13615.05,1397.26,5208.33,6605.59,4014.03,3201.54,7215.57,13821.17,1347.22,5154.11,6501.33,3928.27,3107.4,7035.67,13537.0
Cassava for food,..REGION XII (SOCCSKSARGEN),,,,,,,,,,,,,,,,,,,,,,1207.11,935.92,2143.03,704.26,4304.2,5008.46,7151.49,1000.2,1047.95,2048.15,762.72,3534.78,4297.5,6345.65,1001.45,985.88,1987.33,847.53,2996.82,3844.35,5831.68,913.65,950.75,1864.4,813.33,2778.45,3591.78,5456.18,729.44,810.98,1540.42,817.03,3204.79,4021.82,5562.24,737.91,854.81,1592.72,875.33,2687.58,3562.92,5155.64,682.36,801.8,1484.15,857.61,1752.16,2609.77,4093.93,602.32,794.86,1397.18,571.4,1370.78,1942.18,3339.36
Cassava for food,..REGION XIII (CARAGA),,,,,,,,,,,,,,,,,,,,,,1979.41,5325.43,7304.84,5528.01,6408.48,11936.49,19241.33,1813.32,4981.25,6794.57,6121.14,5406.18,11527.32,18321.89,1942.2,4995.55,6937.75,5621.72,6132.88,11754.6,18692.36,1881.58,4536.61,6418.19,5459.13,5646.22,11105.35,17523.54,1947.76,4430.81,6378.57,6275.47,6639.08,12914.55,19293.12,1936.64,4778.45,6715.09,6018.1,6793.8,12811.9,19526.99,1730.35,3771.04,5501.39,6098.04,7187.64,13285.68,18787.07,1726.11,3848.96,5575.07,2763.77,5140.99,7904.76,13479.84
Cassava for food,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),,,,,,,,,,,,,,,,,,,,,,98111.4,217964.0,316075.4,137857.36,301541.5,439398.86,755474.26,63709.98,100357.85,164067.83,174530.04,320774.93,495304.97,659372.8,64735.09,102731.05,167466.14,182048.0,333136.0,515184.0,682650.14,62759.9,99038.86,161798.76,178114.86,341896.56,520011.42,681810.18,59879.27,100304.37,160183.64,182378.11,363648.18,546026.29,706209.93,61834.92,101369.59,163204.51,184448.83,365748.8,550197.63,713402.14,61790.65,102123.42,163914.07,184267.25,362171.4,546438.65,710352.72,60369.93,98678.69,159048.62,181533.08,353131.78,534664.86,693713.48
Cassava for Industrial use,PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,364235.15,429117.17,793352.32,375590.11,369948.16,745538.27,1538890.6,411597.61,578475.14,990072.75,348012.39,352469.15,700481.54,1690554.29,369635.14,576873.42,946508.55,323626.43,331217.55,654843.98,1601352.53,341075.91,528167.24,869243.15,319049.61,330856.76,649906.37,1519149.52,346130.28,498058.68,844188.97,310547.1,313002.26,623549.35,1467738.32,312161.96,462986.75,775148.71,303951.65,333304.09,637255.74,1412404.45,301946.3,467086.71,769033.01,302323.7,341932.79,644256.49,1413289.5,328501.53,479314.61,807816.14,297465.82,330940.79,628406.61,1436222.75
Cassava for Industrial use,..CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,,,,,,,,,,,,,,,,,497.14,8080.99,8578.13,4533.38,2524.83,7058.21,15636.34,420.32,11035.23,11455.55,7106.81,2558.83,9665.64,21121.19,2610.08,11386.3,13996.38,6356.53,1082.01,7438.54,21434.92,798.48,9031.27,9829.75,3386.05,1115.26,4501.31,14331.05,796.86,9057.82,9854.68,3506.35,1133.43,4639.78,14494.46,720.82,8190.89,8911.71,2744.51,767.89,3512.4,12424.11,577.45,8180.21,8757.66,2813.94,639.0,3452.94,12210.6,621.93,8966.97,9588.9,2665.27,554.0,3219.27,12808.17
Cassava for Industrial use,..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,129.44,211.8,341.24,148.25,,148.25,489.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava for Industrial use,..REGION II (CAGAYAN VALLEY),,,,,,,,,,,,,,,,,,,,,,96802.37,60410.01,157212.38,82227.1,61579.51,143806.61,301018.99,92520.99,65804.21,158325.2,93248.5,61507.77,154756.27,313081.47,85790.05,71335.15,157125.2,78410.04,52112.71,130522.75,287647.95,76547.94,59642.42,136190.36,77837.72,53128.26,130965.98,267156.34,83910.11,50463.01,134373.12,77160.36,12987.31,90147.67,224520.79,48544.85,45966.46,94511.31,69310.54,12210.32,81520.86,176032.17,40206.55,45769.35,85975.9,70264.87,12765.32,83030.19,169006.09,40850.96,44827.55,85678.51,68761.02,12545.3,81306.32,166984.83
Cassava for Industrial use,..REGION III (CENTRAL LUZON),,,,,,,,,,,,,,,,,,,,,,1742.86,2463.18,4206.04,959.85,3809.07,4768.92,8974.96,1799.09,2662.93,4462.02,1060.76,3455.1,4515.86,8977.88,1839.2,2699.39,4538.59,749.48,3233.7,3983.18,8521.77,1725.07,2540.4,4265.47,783.1,3592.15,4375.25,8640.72,1776.12,2373.15,4149.27,668.42,3809.22,4477.64,8626.91,1836.28,2380.52,4216.8,690.48,4415.95,5106.43,9323.23,1757.22,2505.49,4262.71,682.17,4144.37,4826.54,9089.25,1533.33,2361.57,3894.9,636.18,4174.55,4810.73,8705.63
Cassava for Industrial use,..REGION IV-A (CALABARZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,19.7,19.7,2.3,,2.3,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava for Industrial use,..MIMAROPA REGION,,,,,,,,,,,,,,,,,,,,,,295.64,1692.14,1987.78,597.31,1884.31,2481.62,4469.4,287.83,1801.63,2089.46,459.17,1718.9,2178.07,4267.53,221.02,1696.03,1917.05,425.73,1699.45,2125.18,4042.23,214.27,1342.89,1557.16,396.26,1500.4,1896.66,3453.82,205.74,1230.79,1436.53,80.44,7.78,88.22,1524.75,217.24,1515.8,1733.04,101.87,7.46,109.33,1842.37,238.47,1352.61,1591.08,112.52,6.74,119.26,1710.34,209.36,1578.15,1787.51,71.92,1.98,73.9,1861.41
Cassava for Industrial use,..REGION V (BICOL REGION),,,,,,,,,,,,,,,,,,,,,,5856.04,10090.19,15946.23,4066.63,1460.1,5526.73,21472.96,5197.77,9104.31,14302.08,4294.59,1428.53,5723.12,20025.2,4837.66,7810.16,12647.81,4185.61,1302.18,5487.79,18135.6,4144.87,5226.46,9371.33,4540.39,1321.66,5862.05,15233.38,3661.11,4646.63,8307.74,4272.76,1207.37,5480.13,13787.87,2895.98,3771.84,6667.82,3998.53,1279.1,5277.63,11945.45,2443.25,3342.63,5785.88,3441.65,1163.43,4605.08,10390.96,2122.0,2396.94,4518.94,2637.24,4.06,2641.3,7160.24
Cassava for Industrial use,..REGION VI (WESTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,886.94,1142.96,2029.9,389.0,545.5,934.5,2964.4,670.5,650.0,1320.5,130.0,,130.0,1450.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava for Industrial use,..REGION VII (CENTRAL VISAYAS),,,,,,,,,,,,,,,,,,,,,,31402.38,7976.47,39378.86,23414.05,27874.35,51288.4,90667.26,34682.27,11322.37,46004.64,9722.91,11191.8,20914.71,66919.35,11389.93,10940.33,22330.26,5283.86,8469.99,13753.85,36084.11,9402.32,4998.11,14400.43,3919.12,7195.79,11114.91,25515.34,9458.68,4371.01,13829.69,3687.02,6964.06,10651.08,24480.77,9632.56,4939.45,14572.01,3473.55,6326.85,9800.4,24372.41,8855.59,4320.31,13175.9,3755.39,6731.46,10486.85,23662.75,10503.48,5117.07,15620.55,3765.01,7888.22,11653.23,27273.78
Cassava for Industrial use,..REGION VIII (EASTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,9795.28,4344.27,14139.55,11880.2,3054.12,14934.32,29073.87,10245.35,4324.74,14570.09,12389.64,2854.35,15243.99,29814.08,9793.45,4686.0,14479.45,13323.0,2945.31,16268.31,30747.76,9428.0,4313.48,13741.48,14225.0,2639.0,16864.0,30605.48,9848.0,4489.14,14337.14,14333.08,2642.0,16975.08,31312.22,9789.45,4693.01,14482.46,14460.95,2525.0,16985.95,31468.41,9528.09,4376.29,13904.38,14512.09,2396.86,16908.95,30813.33,9438.02,4027.52,13465.54,14522.97,2810.27,17333.24,30798.78
Cassava for Industrial use,..REGION IX (ZAMBOANGA PENINSULA),,,,,,,,,,,,,,,,,,,,,,3483.59,8633.6,12117.18,13076.95,16473.5,29550.45,41667.63,4691.18,13176.35,17867.53,14603.23,15192.25,29795.48,47663.01,4576.09,11424.52,16000.61,13781.07,14028.39,27809.46,43810.07,4306.34,10444.43,14750.78,13198.62,13856.75,27055.38,41806.15,4069.4,10957.12,15026.52,13880.34,14394.8,28275.14,43301.66,4367.06,10595.48,14962.54,14952.91,13879.05,28831.96,43794.5,4550.21,10393.53,14943.74,14187.39,14674.96,28862.35,43806.09,4498.96,8162.8,12661.76,9609.87,13086.31,22696.18,35357.94
Cassava for Industrial use,..REGION X (NORTHERN MINDANAO),,,,,,,,,,,,,,,,,,,,,,165981.36,301901.0,467882.36,86039.7,103227.8,189267.5,657149.86,174503.82,318150.15,492653.97,90437.24,106485.31,196922.55,689576.52,167180.09,315719.0,482899.09,85869.17,101200.29,187069.46,669968.55,157067.94,293726.0,450793.94,87754.71,102466.0,190220.71,641014.65,157474.27,275095.92,432570.19,80286.45,126318.92,206605.37,639175.56,157735.24,241789.17,399524.41,82724.4,145069.18,227793.58,627317.99,155421.64,249290.81,404712.45,83657.13,146161.51,229818.64,634531.09,178893.0,262782.44,441675.44,86696.0,137094.03,223790.03,665465.47
Cassava for Industrial use,..REGION XI (DAVAO REGION),,,,,,,,,,,,,,,,,,,,,,3237.38,3114.86,6352.24,1748.66,1508.23,3256.89,9609.13,3326.11,1810.75,5136.86,1519.5,1575.12,3094.62,8231.48,3098.53,1812.14,4910.67,1278.44,1569.31,2847.75,7758.42,2614.41,1560.31,4174.72,1144.57,1404.44,2549.01,6723.73,2509.68,1326.78,3836.45,1088.84,1198.77,2287.61,6124.06,2468.04,1206.29,3674.33,1007.64,1118.1,2125.74,5800.07,2503.07,1193.69,3696.75,1011.59,1126.72,2138.31,5835.06,2524.34,1211.96,3736.3,1001.53,1069.52,2071.05,5807.35
Cassava for Industrial use,..REGION XII (SOCCSKSARGEN),,,,,,,,,,,,,,,,,,,,,,44124.73,15252.2,59376.93,18105.22,20387.8,38493.02,97869.95,46525.96,16216.78,62742.74,16378.09,18362.05,34740.14,97482.88,41097.63,15670.48,56768.11,15127.38,17382.22,32509.6,89277.71,37926.27,15241.21,53167.48,13596.88,16836.83,30433.71,83601.19,35520.07,13796.82,49316.89,13228.04,16528.6,29756.64,79073.53,37049.44,16909.71,53959.15,12108.76,19846.52,31955.28,85914.43,38949.76,16035.39,54985.15,9514.96,26292.42,35807.38,90792.53,40390.65,17568.94,57959.59,8727.81,25592.56,34320.37,92279.95
Cassava for Industrial use,..REGION XIII (CARAGA),,,,,,,,,,,,,,,,,,,,,,,2000.0,2000.0,1260.0,2218.54,3478.54,5478.54,,1461.54,1461.54,1223.16,1139.14,2362.3,3823.84,469.0,1593.67,2062.67,572.92,572.0,1144.92,3207.59,150.0,,150.0,0.19,0.22,0.41,150.41,0.25,0.5,0.75,,,,0.75,,703.14,703.14,17.5,39.67,57.17,760.31,,,,,,,,,,,,,,
Cassava for Industrial use,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),,,,,,,,,,,,,,,,,,,,,,,1803.5,1803.5,127143.82,123400.5,250544.32,252347.82,36726.42,120954.15,157680.57,95419.09,125000.0,220419.09,378099.66,36730.12,120100.25,156830.37,98263.2,125620.0,223883.2,380713.57,36750.0,120100.25,156850.25,98267.0,125800.0,224067.0,380917.25,36900.0,120250.0,157150.0,98355.0,125810.0,224165.0,381315.0,36905.0,120325.0,157230.0,98360.0,125819.0,224179.0,381409.0,36915.0,120326.4,157241.4,98370.0,125830.0,224200.0,381441.4,36915.5,120312.7,157228.2,98371.0,126120.0,224491.0,381719.2
